episode,step,r,c,k,e,action,reward,nr,nc,nk,ne,done,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
149999,40,7,13,1,10,DOWN,-1.0,8,13,1,9,0,29.018402,28.180881,26.899072,-2.119329,28.594536,0.2,0.99,0.05
149999,41,8,13,1,9,DOWN,-1.0,9,13,1,8,0,28.180881,24.794786,23.546838,-4.634043,27.254072,0.2,0.99,0.05
149999,42,9,13,1,8,DOWN,-1.0,9,12,1,7,0,24.794786,1.092759,0.081832,-24.712954,19.852195,0.2,0.99,0.05
149999,43,9,12,1,7,DOWN,-1.0,10,12,1,6,0,1.092759,7.338881,6.265492,5.172732,2.127306,0.2,0.99,0.05
149999,44,10,12,1,6,DOWN,-1.0,11,12,1,5,0,7.338881,15.56019,14.404588,7.065708,8.752022,0.2,0.99,0.05
149999,45,11,12,1,5,RIGHT,-1.0,11,13,1,4,0,15.56019,21.992926,20.772996,5.212806,16.602752,0.2,0.99,0.05
149999,46,11,13,1,4,DOWN,-1.0,12,13,1,3,0,21.992926,32.096147,30.775185,8.78226,23.749378,0.2,0.99,0.05
149999,47,12,13,1,3,RIGHT,-1.0,12,14,1,2,0,32.096147,34.102899,32.76187,0.665723,32.229292,0.2,0.99,0.05
149999,48,12,14,1,2,DOWN,-1.0,13,14,1,1,0,34.102899,86.127919,84.26664,50.163741,44.135647,0.2,0.99,0.05
149999,49,13,14,1,1,DOWN,-25.0,13,14,1,0,1,86.127919,0.0,-25.0,-111.127919,63.902335,0.2,0.99,0.05
