episode,epsilon,total_reward,steps,success,wall_hits,penalty_entries,key_obtained,energy_left,end_event
336,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
337,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
338,0.05,89.0,49,1,3,0,1,1,GOAL_REACHED
339,0.05,86.0,48,1,4,0,1,2,GOAL_REACHED
340,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
341,0.05,75.0,47,1,7,0,1,3,GOAL_REACHED
342,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
343,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
344,0.05,90.0,44,1,4,0,1,6,GOAL_REACHED
345,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
346,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
347,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
348,0.05,81.0,49,1,5,0,1,1,GOAL_REACHED
349,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
350,0.05,77.0,48,1,4,1,1,2,GOAL_REACHED
351,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
352,0.05,89.0,49,1,3,0,1,1,GOAL_REACHED
353,0.05,-64.0,50,0,11,0,1,0,ENERGY_DEPLETED
354,0.05,80.0,46,1,6,0,1,4,GOAL_REACHED
355,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
356,0.05,81.0,49,1,5,0,1,1,GOAL_REACHED
357,0.05,-44.0,50,0,6,0,1,0,ENERGY_DEPLETED
358,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
359,0.05,-40.0,50,0,4,0,1,0,ENERGY_DEPLETED
360,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
361,0.05,87.0,46,1,2,1,1,4,GOAL_REACHED
362,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
363,0.05,-65.0,50,0,9,1,1,0,ENERGY_DEPLETED
364,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
365,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
366,0.05,104.0,46,1,0,0,1,4,GOAL_REACHED
367,0.05,80.0,46,1,6,0,1,4,GOAL_REACHED
368,0.05,89.0,49,1,3,0,1,1,GOAL_REACHED
369,0.05,78.0,48,1,6,0,1,2,GOAL_REACHED
370,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
371,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
372,0.05,80.0,46,1,6,0,1,4,GOAL_REACHED
373,0.05,-49.0,50,0,5,1,1,0,ENERGY_DEPLETED
374,0.05,-48.0,50,0,7,0,1,0,ENERGY_DEPLETED
375,0.05,-48.0,50,0,6,0,1,0,ENERGY_DEPLETED
376,0.05,76.0,50,1,6,0,1,0,GOAL_REACHED
377,0.05,75.0,50,1,4,1,1,0,GOAL_REACHED
378,0.05,99.0,47,1,1,0,1,3,GOAL_REACHED
379,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
380,0.05,-41.0,50,0,3,1,1,0,ENERGY_DEPLETED
381,0.05,94.0,48,1,2,0,1,2,GOAL_REACHED
382,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
383,0.05,87.0,46,1,2,1,1,4,GOAL_REACHED
384,0.05,-60.0,50,0,9,0,1,0,ENERGY_DEPLETED
385,0.05,83.0,47,1,5,0,1,3,GOAL_REACHED
386,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
387,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
388,0.05,80.0,46,1,6,0,1,4,GOAL_REACHED
389,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
390,0.05,-45.0,50,0,4,1,1,0,ENERGY_DEPLETED
391,0.05,73.0,49,1,7,0,1,1,GOAL_REACHED
392,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
393,0.05,85.0,48,1,2,1,1,2,GOAL_REACHED
394,0.05,-37.0,50,0,2,1,1,0,ENERGY_DEPLETED
395,0.05,-41.0,50,0,3,1,1,0,ENERGY_DEPLETED
396,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
397,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
398,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
399,0.05,87.0,46,1,2,1,1,4,GOAL_REACHED
400,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
401,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
402,0.05,85.0,48,1,2,1,1,2,GOAL_REACHED
403,0.05,97.0,49,1,1,0,1,1,GOAL_REACHED
404,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
405,0.05,83.0,47,1,5,0,1,3,GOAL_REACHED
406,0.05,-49.0,50,0,5,1,1,0,ENERGY_DEPLETED
